HOLD,07:17,07:18,FA,FA,3,3,MF,14,0,150
PIL_TOG,07:38,08:42,FA,AR,3,3,MF,19,0,151
PERN_RNG,08:42,08:52,AR,ARp,3,3,MF,19,2,152
HOLD,09:52,10:06,ARp,ARp,3,3,MF,30,2,153
RNG,10:06,10:08,ARp,AR,3,3,MF,30,2,154
PERN,10:08,10:15,AR,AR,3,3,MF,30,0,155
PERN_RNG,10:42,10:52,AR,ARp,3,3,MF,27,2,156
HOLD,10:52,11:06,ARp,ARp,3,3,MF,34,2,157
RNG,11:06,11:08,ARp,AR,3,3,MF,34,2,158
PERN,11:08,11:15,AR,AR,3,3,MF,34,0,159
PERN_RNG,11:42,11:52,AR,ARp,3,3,MF,31,2,160
HOLD,11:52,12:06,ARp,ARp,3,3,MF,38,2,161
RNG,12:06,12:08,ARp,AR,3,3,MF,38,2,162
RNG,05:35,05:50,ARp,AR,3,3,MG,312,2,163
KLG,06:53,07:08,ARp,ARp,3,3,MF,2920,2,164
RNG,07:08,07:23,ARp,AR,3,3,MF,2920,2,165
RNG_TAF,08:02,08:32,AR,ARp,3,3,MG,3315,2,166
V,08:52,09:07,ARp,ARp,3,3,MG,2917,2,167
HOLD,09:07,09:38,ARp,ARp,3,3,MG,3330,2,168
HOLD,10:22,10:38,ARp,ARp,3,3,MF,3334,2,169
PIL_TOG,05:15,06:51,AR,AB,3,3,MF,105,0,170
HOLD_PIL_TOG,07:51,09:38,AB,AR,3,3,MF,126,0,171
HOLD_PIL_TOG,09:38,10:45,AR,FA,3,3,MF,126,0,172
HOLD_PIL_TOG,11:06,12:12,FA,AR,3,3,MF,133,0,173
KLG,05:40,06:00,ARp,ARp,3,3,MF,109,2,174
RNG,06:00,06:15,ARp,AR,3,3,MF,109,2,175
PIL_TOG,06:15,07:51,AR,AB,3,3,MF,109,0,176
PERN_RNG,07:51,08:20,AB,ABp,3,3,MF,109,1,177
F,08:20,08:40,ABp,ABp,3,3,MF,109,1,178
HOLD,08:40,08:45,ABp,ABp,3,3,MF,132,1,179
RNG,08:45,09:00,ABp,AB,3,3,MF,132,1,180
PIL_TOG_HOLD_PIL_TOG,10:06,10:37,AB,AB,3,3,MF,19_38,0,181
HOLD_PIL_TOG,10:37,12:08,AB,AR,3,3,MF,38,0,182
HOLD_PIL,12:08,12:15,AR,AR,3,3,MF,38,0,183
PIL_TOG,05:34,06:40,AR,FA,3,3,MF,5753,0,184
HOLD_PIL_TOG,07:06,08:12,FA,AR,3,3,MF,117,0,185
HOLD_PIL_TOG,08:12,09:51,AR,AB,3,3,MF,117,0,186
RNG,10:45,11:00,ABp,AB,3,3,MF,140,1,187
PIL_TOG,11:00,12:38,AB,AR,3,3,MF,140,0,188
KLG,05:55,06:35,ARp,ARp,3,3,MG,316,2,189
