Start time,End time,Start station,End station,Day,Endday,Train number
850,901,OD,VJ,3,3,47
850,1007,OD,STR,3,3,47
850,1026,OD,AB,3,3,47
883,942,FA,AR,3,3,47
883,901,FA,VJ,3,3,47
883,1007,FA,STR,3,3,47
883,1026,FA,AB,3,3,47
886,901,FA,VJ,3,3,47
886,1007,FA,STR,3,3,47
886,1026,FA,AB,3,3,47
903,1007,VJ,STR,3,3,47
903,1026,VJ,AB,3,3,47
950,1026,AR,AB,3,3,47
830,908,AB,AR,3,3,50
830,956,AB,VJ,3,3,50
830,977,AB,FA,3,3,50
830,973,AB,FA,3,3,50
830,1010,AB,OD,3,3,50
830,1083,AB,KH,3,3,50
830,1115,AB,CPHkak,3,3,50
844,956,STR,VJ,3,3,50
844,977,STR,FA,3,3,50
844,973,STR,FA,3,3,50
844,1010,STR,OD,3,3,50
844,1083,STR,KH,3,3,50
844,1115,STR,CPHkak,3,3,50
915,977,AR,FA,3,3,50
915,973,AR,FA,3,3,50
915,1010,AR,OD,3,3,50
915,1083,AR,KH,3,3,50
915,1115,AR,CPHkak,3,3,50
957,973,VJ,FA,3,3,50
957,1010,VJ,OD,3,3,50
957,1083,VJ,KH,3,3,50
957,1115,VJ,CPHkak,3,3,50
983,1010,FA,OD,3,3,50
983,1083,FA,KH,3,3,50
983,1115,FA,CPHkak,3,3,50
1013,1083,OD,KH,3,3,50
1013,1115,OD,CPHkak,3,3,50
1092,1115,KH,CPHkak,3,3,50
797,821,CPHkak,KH,3,3,51
797,907,CPHkak,OD,3,3,51
797,938,CPHkak,FA,3,3,51
797,1002,CPHkak,AR,3,3,51
797,1086,CPHkak,AB,3,3,51
797,1007,CPHkak,TE,3,3,51
797,1042,CPHkak,SDB,3,3,51
836,907,KH,OD,3,3,51
836,938,KH,FA,3,3,51
836,1002,KH,AR,3,3,51
836,1086,KH,AB,3,3,51
836,1007,KH,TE,3,3,51
836,1042,KH,SDB,3,3,51
910,938,OD,FA,3,3,51
910,1002,OD,AR,3,3,51
910,1086,OD,AB,3,3,51
910,1007,OD,TE,3,3,51
910,1042,OD,SDB,3,3,51
943,1002,FA,AR,3,3,51
943,1086,FA,AB,3,3,51
1010,1086,AR,AB,3,3,51
950,1007,FA,TE,3,3,51
950,1042,FA,SDB,3,3,51
1009,1042,TE,SDB,3,3,51
890,968,AB,AR,3,3,54
890,1037,AB,FA,3,3,54
890,1070,AB,OD,3,3,54
890,1143,AB,KH,3,3,54
890,1175,AB,CPHkak,3,3,54
975,1037,AR,FA,3,3,54
975,1070,AR,OD,3,3,54
975,1143,AR,KH,3,3,54
975,1175,AR,CPHkak,3,3,54
1043,1070,FA,OD,3,3,54
1043,1143,FA,KH,3,3,54
1043,1175,FA,CPHkak,3,3,54
1073,1143,OD,KH,3,3,54
1073,1175,OD,CPHkak,3,3,54
1152,1175,KH,CPHkak,3,3,54
935,1070,SDB,OD,3,3,54
935,1143,SDB,KH,3,3,54
935,1175,SDB,CPHkak,3,3,54
935,968,SDB,TE,3,3,54
935,1027,SDB,FA,3,3,54
970,1070,TE,OD,3,3,54
970,1143,TE,KH,3,3,54
970,1175,TE,CPHkak,3,3,54
970,1027,TE,FA,3,3,54
857,881,CPHkak,KH,3,3,55
857,967,CPHkak,OD,3,3,55
857,998,CPHkak,FA,3,3,55
857,1062,CPHkak,AR,3,3,55
857,1146,CPHkak,AB,3,3,55
896,967,KH,OD,3,3,55
896,998,KH,FA,3,3,55
896,1062,KH,AR,3,3,55
896,1146,KH,AB,3,3,55
970,998,OD,FA,3,3,55
970,1062,OD,AR,3,3,55
970,1146,OD,AB,3,3,55
1003,1062,FA,AR,3,3,55
1003,1146,FA,AB,3,3,55
1070,1146,AR,AB,3,3,55
950,1028,AB,AR,3,3,58
950,1097,AB,FA,3,3,58
950,1130,AB,OD,3,3,58
950,1203,AB,KH,3,3,58
950,1235,AB,CPHkak,3,3,58
1035,1097,AR,FA,3,3,58
1035,1130,AR,OD,3,3,58
1035,1203,AR,KH,3,3,58
1035,1235,AR,CPHkak,3,3,58
1103,1130,FA,OD,3,3,58
1103,1203,FA,KH,3,3,58
1103,1235,FA,CPHkak,3,3,58
1133,1203,OD,KH,3,3,58
1133,1235,OD,CPHkak,3,3,58
1212,1235,KH,CPHkak,3,3,58
917,941,CPHkak,KH,3,3,59
917,1027,CPHkak,OD,3,3,59
917,1058,CPHkak,FA,3,3,59
917,1122,CPHkak,AR,3,3,59
917,1206,CPHkak,AB,3,3,59
917,1127,CPHkak,TE,3,3,59
917,1162,CPHkak,SDB,3,3,59
956,1027,KH,OD,3,3,59
956,1058,KH,FA,3,3,59
956,1122,KH,AR,3,3,59
956,1206,KH,AB,3,3,59
956,1127,KH,TE,3,3,59
956,1162,KH,SDB,3,3,59
1030,1058,OD,FA,3,3,59
1030,1122,OD,AR,3,3,59
1030,1206,OD,AB,3,3,59
1030,1127,OD,TE,3,3,59
1030,1162,OD,SDB,3,3,59
1063,1122,FA,AR,3,3,59
1063,1206,FA,AB,3,3,59
1130,1206,AR,AB,3,3,59
1070,1127,FA,TE,3,3,59
1070,1162,FA,SDB,3,3,59
1129,1162,TE,SDB,3,3,59
1010,1088,AB,AR,3,3,62
1010,1157,AB,FA,3,3,62
1010,1190,AB,OD,3,3,62
1010,1263,AB,KH,3,3,62
1010,1295,AB,CPHkak,3,3,62
1095,1157,AR,FA,3,3,62
1095,1190,AR,OD,3,3,62
1095,1263,AR,KH,3,3,62
1095,1295,AR,CPHkak,3,3,62
1163,1190,FA,OD,3,3,62
1163,1263,FA,KH,3,3,62
1163,1295,FA,CPHkak,3,3,62
1193,1263,OD,KH,3,3,62
1193,1295,OD,CPHkak,3,3,62
1272,1295,KH,CPHkak,3,3,62
1055,1190,SDB,OD,3,3,62
1055,1263,SDB,KH,3,3,62
1055,1295,SDB,CPHkak,3,3,62
1055,1088,SDB,TE,3,3,62
1055,1147,SDB,FA,3,3,62
1090,1190,TE,OD,3,3,62
1090,1263,TE,KH,3,3,62
1090,1295,TE,CPHkak,3,3,62
1090,1147,TE,FA,3,3,62
977,1001,CPHkak,KH,3,3,63
977,1087,CPHkak,OD,3,3,63
977,1118,CPHkak,FA,3,3,63
977,1182,CPHkak,AR,3,3,63
977,1141,CPHkak,VJ,3,3,63
977,1247,CPHkak,STR,3,3,63
977,1266,CPHkak,AB,3,3,63
1016,1087,KH,OD,3,3,63
1016,1118,KH,FA,3,3,63
1016,1182,KH,AR,3,3,63
1016,1141,KH,VJ,3,3,63
1016,1247,KH,STR,3,3,63
1016,1266,KH,AB,3,3,63
1090,1118,OD,FA,3,3,63
1090,1182,OD,AR,3,3,63
1090,1141,OD,VJ,3,3,63
1090,1247,OD,STR,3,3,63
1090,1266,OD,AB,3,3,63
1123,1182,FA,AR,3,3,63
1123,1141,FA,VJ,3,3,63
1123,1247,FA,STR,3,3,63
1123,1266,FA,AB,3,3,63
1126,1141,FA,VJ,3,3,63
1126,1247,FA,STR,3,3,63
1126,1266,FA,AB,3,3,63
1143,1247,VJ,STR,3,3,63
1143,1266,VJ,AB,3,3,63
1190,1266,AR,AB,3,3,63
1070,1148,AB,AR,3,3,66
1070,1196,AB,VJ,3,3,66
1070,1217,AB,FA,3,3,66
1070,1213,AB,FA,3,3,66
1070,1250,AB,OD,3,3,66
1070,1323,AB,KH,3,3,66
1070,1355,AB,CPHkak,3,3,66
1084,1196,STR,VJ,3,3,66
1084,1217,STR,FA,3,3,66
1084,1213,STR,FA,3,3,66
1084,1250,STR,OD,3,3,66
1084,1323,STR,KH,3,3,66
1084,1355,STR,CPHkak,3,3,66
1155,1217,AR,FA,3,3,66
1155,1213,AR,FA,3,3,66
1155,1250,AR,OD,3,3,66
1155,1323,AR,KH,3,3,66
1155,1355,AR,CPHkak,3,3,66
1197,1213,VJ,FA,3,3,66
1197,1250,VJ,OD,3,3,66
1197,1323,VJ,KH,3,3,66
1197,1355,VJ,CPHkak,3,3,66
1223,1250,FA,OD,3,3,66
1223,1323,FA,KH,3,3,66
1223,1355,FA,CPHkak,3,3,66
1253,1323,OD,KH,3,3,66
1253,1355,OD,CPHkak,3,3,66
1332,1355,KH,CPHkak,3,3,66
1037,1061,CPHkak,KH,3,3,67
1037,1147,CPHkak,OD,3,3,67
1037,1178,CPHkak,FA,3,3,67
1037,1242,CPHkak,AR,3,3,67
1037,1326,CPHkak,AB,3,3,67
1037,1247,CPHkak,TE,3,3,67
1037,1282,CPHkak,SDB,3,3,67
1076,1147,KH,OD,3,3,67
1076,1178,KH,FA,3,3,67
1076,1242,KH,AR,3,3,67
1076,1326,KH,AB,3,3,67
1076,1247,KH,TE,3,3,67
1076,1282,KH,SDB,3,3,67
1150,1178,OD,FA,3,3,67
1150,1242,OD,AR,3,3,67
1150,1326,OD,AB,3,3,67
1150,1247,OD,TE,3,3,67
1150,1282,OD,SDB,3,3,67
1183,1242,FA,AR,3,3,67
1183,1326,FA,AB,3,3,67
1250,1326,AR,AB,3,3,67
1190,1247,FA,TE,3,3,67
1190,1282,FA,SDB,3,3,67
1249,1282,TE,SDB,3,3,67
1130,1208,AB,AR,3,3,70
1130,1277,AB,FA,3,3,70
1130,1310,AB,OD,3,3,70
1130,1383,AB,KH,3,3,70
1130,1415,AB,CPHkak,3,3,70
1215,1277,AR,FA,3,3,70
1215,1310,AR,OD,3,3,70
1215,1383,AR,KH,3,3,70
1215,1415,AR,CPHkak,3,3,70
1283,1310,FA,OD,3,3,70
1283,1383,FA,KH,3,3,70
1283,1415,FA,CPHkak,3,3,70
1313,1383,OD,KH,3,3,70
1313,1415,OD,CPHkak,3,3,70
1392,1415,KH,CPHkak,3,3,70
1175,1310,SDB,OD,3,3,70
1175,1383,SDB,KH,3,3,70
1175,1415,SDB,CPHkak,3,3,70
1175,1208,SDB,TE,3,3,70
1175,1267,SDB,FA,3,3,70
1210,1310,TE,OD,3,3,70
1210,1383,TE,KH,3,3,70
1210,1415,TE,CPHkak,3,3,70
1210,1267,TE,FA,3,3,70
1097,1121,CPHkak,KH,3,3,71
1097,1207,CPHkak,OD,3,3,71
1097,1238,CPHkak,FA,3,3,71
1097,1302,CPHkak,AR,3,3,71
1136,1207,KH,OD,3,3,71
1136,1238,KH,FA,3,3,71
1136,1302,KH,AR,3,3,71
1210,1238,OD,FA,3,3,71
1210,1302,OD,AR,3,3,71
1243,1302,FA,AR,3,3,71
1190,1268,AB,AR,3,3,74
1157,1181,CPHkak,KH,3,3,75
1157,1267,CPHkak,OD,3,3,75
1157,1298,CPHkak,FA,3,3,75
1157,1316,CPHkak,VJ,3,3,75
1157,1362,CPHkak,AR,3,3,75
1157,1367,CPHkak,TE,3,3,75
1157,1402,CPHkak,SDB,3,3,75
1196,1267,KH,OD,3,3,75
1196,1298,KH,FA,3,3,75
1196,1316,KH,VJ,3,3,75
1196,1362,KH,AR,3,3,75
1196,1367,KH,TE,3,3,75
1196,1402,KH,SDB,3,3,75
1270,1298,OD,FA,3,3,75
1270,1316,OD,VJ,3,3,75
1270,1362,OD,AR,3,3,75
1270,1367,OD,TE,3,3,75
1270,1402,OD,SDB,3,3,75
1303,1316,FA,VJ,3,3,75
1303,1362,FA,AR,3,3,75
1318,1362,VJ,AR,3,3,75
1310,1367,FA,TE,3,3,75
1310,1402,FA,SDB,3,3,75
1369,1402,TE,SDB,3,3,75
1295,1328,SDB,TE,3,3,78
