Column1,Column2,Start station,End station,Day,DayEND,Train number
1220,1226,KH,KK,3,3,4556
1280,1286,KH,KK,3,3,4560
1202,1208,KH,KK,3,3,9356
1286,1292,KH,KK,3,3,9364
356,427,KH,OD,3,3,19
416,487,KH,OD,3,3,23
476,547,KH,OD,3,3,27
536,607,KH,OD,3,3,31
596,667,KH,OD,3,3,35
656,727,KH,OD,3,3,39
716,787,KH,OD,3,3,43
776,847,KH,OD,3,3,47
836,907,KH,OD,3,3,51
896,967,KH,OD,3,3,55
956,1027,KH,OD,3,3,59
1016,1087,KH,OD,3,3,63
1076,1147,KH,OD,3,3,67
1136,1207,KH,OD,3,3,71
1196,1267,KH,OD,3,3,75
1256,1327,KH,OD,3,3,79
305,393,KH,OD,3,3,117
365,453,KH,OD,3,3,121
425,513,KH,OD,3,3,125
485,573,KH,OD,3,3,129
545,633,KH,OD,3,3,133
605,693,KH,OD,3,3,137
665,753,KH,OD,3,3,141
725,813,KH,OD,3,3,145
785,873,KH,OD,3,3,149
845,933,KH,OD,3,3,153
905,993,KH,OD,3,3,157
965,1053,KH,OD,3,3,161
1025,1113,KH,OD,3,3,165
1085,1173,KH,OD,3,3,169
1145,1233,KH,OD,3,3,173
1205,1293,KH,OD,3,3,177
1265,1353,KH,OD,3,3,181
419,503,KH,OD,3,3,225
899,982,KH,OD,3,3,257
959,1043,KH,OD,3,3,261
1019,1103,KH,OD,3,3,265
386,457,KH,OD,3,3,321
746,817,KH,OD,3,3,345
866,937,KH,OD,3,3,353
986,1057,KH,OD,3,3,361
446,517,KH,OD,3,3,393
686,757,KH,OD,3,3,395
926,997,KH,OD,3,3,397
61,156,KH,OD,4,4,403
161,262,KH,OD,4,4,409
1321,1414,KH,OD,3,3,485
1381,35,KH,OD,3,4,489
1,95,KH,OD,4,4,493
329,424,KH,OD,3,3,819
389,484,KH,OD,3,3,823
449,544,KH,OD,3,3,827
509,604,KH,OD,3,3,831
569,664,KH,OD,3,3,835
629,724,KH,OD,3,3,839
689,784,KH,OD,3,3,843
749,844,KH,OD,3,3,847
809,904,KH,OD,3,3,851
869,964,KH,OD,3,3,855
929,1024,KH,OD,3,3,859
989,1084,KH,OD,3,3,863
1049,1144,KH,OD,3,3,867
1109,1204,KH,OD,3,3,871
1169,1264,KH,OD,3,3,875
1229,1324,KH,OD,3,3,879
1289,1384,KH,OD,3,3,883
532,538,KK,KH,3,3,133
409,415,KK,KH,3,3,225
889,895,KK,KH,3,3,257
949,955,KK,KH,3,3,261
391,397,KK,KH,3,3,1223
451,457,KK,KH,3,3,1227
511,517,KK,KH,3,3,1231
571,577,KK,KH,3,3,1235
631,637,KK,KH,3,3,1239
691,697,KK,KH,3,3,1243
751,757,KK,KH,3,3,1247
811,817,KK,KH,3,3,1251
871,877,KK,KH,3,3,1255
931,937,KK,KH,3,3,1259
991,997,KK,KH,3,3,1263
1051,1057,KK,KH,3,3,1267
1111,1117,KK,KH,3,3,1271
1171,1177,KK,KH,3,3,1275
1231,1237,KK,KH,3,3,1279
1291,1297,KK,KH,3,3,1283
1351,1357,KK,KH,3,3,1287
1411,1417,KK,KH,3,3,1291
1270,1276,KK,KH,3,3,2483
334,340,KK,KH,3,3,2519
394,400,KK,KH,3,3,2523
454,460,KK,KH,3,3,2527
514,520,KK,KH,3,3,2531
574,580,KK,KH,3,3,2535
634,640,KK,KH,3,3,2539
694,700,KK,KH,3,3,2543
754,760,KK,KH,3,3,2547
814,820,KK,KH,3,3,2551
934,940,KK,KH,3,3,2559
994,1000,KK,KH,3,3,2563
1054,1060,KK,KH,3,3,2567
1234,1240,KK,KH,3,3,2579
1012,1018,KK,KH,3,3,3565
304,310,KK,KH,3,3,4517
364,370,KK,KH,3,3,4521
424,430,KK,KH,3,3,4525
664,670,KK,KH,3,3,4541
784,790,KK,KH,3,3,4549
964,970,KK,KH,3,3,4561
1024,1030,KK,KH,3,3,4565
1087,1093,KK,KH,3,3,9371
425,434,KK,KKn,3,3,104
845,854,KK,KKn,3,3,132
1265,1274,KK,KKn,3,3,160
491,500,KK,KKn,3,3,208
449,458,KK,KKn,3,3,1206
509,518,KK,KKn,3,3,1210
1229,1238,KK,KKn,3,3,1258
1250,1259,KK,KKn,3,3,2460
656,665,KK,KKn,3,3,2518
716,725,KK,KKn,3,3,2522
776,785,KK,KKn,3,3,2526
836,845,KK,KKn,3,3,2530
896,905,KK,KKn,3,3,2534
956,965,KK,KKn,3,3,2538
1016,1025,KK,KKn,3,3,2542
386,395,KK,KKn,3,3,4500
926,935,KK,KKn,3,3,4536
986,995,KK,KKn,3,3,4540
523,527,KKn,KK,3,3,133
400,404,KKn,KK,3,3,225
880,884,KKn,KK,3,3,257
940,944,KKn,KK,3,3,261
382,386,KKn,KK,3,3,1223
442,446,KKn,KK,3,3,1227
802,806,KKn,KK,3,3,1251
862,866,KKn,KK,3,3,1255
922,926,KKn,KK,3,3,1259
1282,1286,KKn,KK,3,3,1283
1261,1265,KKn,KK,3,3,2483
505,509,KKn,KK,3,3,2531
685,689,KKn,KK,3,3,2543
745,749,KKn,KK,3,3,2547
985,989,KKn,KK,3,3,2563
1045,1049,KKn,KK,3,3,2567
1003,1007,KKn,KK,3,3,3565
355,359,KKn,KK,3,3,4521
415,419,KKn,KK,3,3,4525
373,459,OD,ES,3,3,815
433,512,OD,ES,3,3,819
493,572,OD,ES,3,3,823
553,632,OD,ES,3,3,827
613,692,OD,ES,3,3,831
673,752,OD,ES,3,3,835
733,812,OD,ES,3,3,839
793,872,OD,ES,3,3,843
853,932,OD,ES,3,3,847
913,992,OD,ES,3,3,851
973,1052,OD,ES,3,3,855
1033,1112,OD,ES,3,3,859
1093,1172,OD,ES,3,3,863
1153,1232,OD,ES,3,3,867
1213,1292,OD,ES,3,3,871
1273,1352,OD,ES,3,3,875
370,398,OD,FA,3,3,15
430,458,OD,FA,3,3,19
490,518,OD,FA,3,3,23
550,578,OD,FA,3,3,27
610,638,OD,FA,3,3,31
670,698,OD,FA,3,3,35
730,758,OD,FA,3,3,39
790,818,OD,FA,3,3,43
850,878,OD,FA,3,3,47
910,938,OD,FA,3,3,51
970,998,OD,FA,3,3,55
1030,1058,OD,FA,3,3,59
1090,1118,OD,FA,3,3,63
1150,1178,OD,FA,3,3,67
1210,1238,OD,FA,3,3,71
1270,1298,OD,FA,3,3,75
1330,1358,OD,FA,3,3,79
335,366,OD,FA,3,3,113
395,426,OD,FA,3,3,117
455,486,OD,FA,3,3,121
515,546,OD,FA,3,3,125
575,606,OD,FA,3,3,129
635,666,OD,FA,3,3,133
695,726,OD,FA,3,3,137
755,786,OD,FA,3,3,141
815,846,OD,FA,3,3,145
875,906,OD,FA,3,3,149
935,966,OD,FA,3,3,153
995,1026,OD,FA,3,3,157
1055,1086,OD,FA,3,3,161
1115,1146,OD,FA,3,3,165
1175,1206,OD,FA,3,3,169
1235,1266,OD,FA,3,3,173
1295,1326,OD,FA,3,3,177
1355,1386,OD,FA,3,3,181
460,490,OD,FA,3,3,321
820,850,OD,FA,3,3,345
940,970,OD,FA,3,3,353
1060,1090,OD,FA,3,3,361
159,191,OD,FA,4,4,403
264,298,OD,FA,4,4,409
36,67,OD,FA,4,4,489
313,343,OD,FA,4,4,911
340,390,OD,FA,3,3,2713
465,514,OD,FA,3,3,2721
580,630,OD,FA,3,3,2729
700,754,OD,FA,3,3,2737
823,873,OD,FA,3,3,2745
943,993,OD,FA,3,3,2753
1063,1113,OD,FA,3,3,2761
1180,1230,OD,FA,3,3,2769
1300,1354,OD,FA,3,3,2777
1420,34,OD,FA,3,4,2785
403,451,OD,FA,3,3,4717
436,481,OD,FA,3,3,4721
528,570,OD,FA,3,3,4725
648,690,OD,FA,3,3,4733
768,810,OD,FA,3,3,4741
885,930,OD,FA,3,3,4749
1008,1050,OD,FA,3,3,4757
1128,1170,OD,FA,3,3,4765
1245,1290,OD,FA,3,3,4773
1365,1410,OD,FA,3,3,4781
353,423,OD,KH,3,3,6
413,483,OD,KH,3,3,10
473,543,OD,KH,3,3,14
533,603,OD,KH,3,3,18
593,663,OD,KH,3,3,22
653,723,OD,KH,3,3,26
713,783,OD,KH,3,3,30
773,843,OD,KH,3,3,34
833,903,OD,KH,3,3,38
893,963,OD,KH,3,3,42
953,1023,OD,KH,3,3,46
1013,1083,OD,KH,3,3,50
1073,1143,OD,KH,3,3,54
1133,1203,OD,KH,3,3,58
1193,1263,OD,KH,3,3,62
1253,1323,OD,KH,3,3,66
1313,1383,OD,KH,3,3,70
325,415,OD,KH,3,3,104
385,475,OD,KH,3,3,108
445,535,OD,KH,3,3,112
505,595,OD,KH,3,3,116
565,655,OD,KH,3,3,120
625,715,OD,KH,3,3,124
685,775,OD,KH,3,3,128
745,835,OD,KH,3,3,132
805,895,OD,KH,3,3,136
865,955,OD,KH,3,3,140
925,1015,OD,KH,3,3,144
985,1075,OD,KH,3,3,148
1045,1135,OD,KH,3,3,152
1105,1195,OD,KH,3,3,156
1165,1255,OD,KH,3,3,160
1225,1315,OD,KH,3,3,164
1285,1375,OD,KH,3,3,168
390,482,OD,KH,3,3,208
450,542,OD,KH,3,3,212
382,454,OD,KH,3,3,308
442,514,OD,KH,3,3,312
502,574,OD,KH,3,3,316
922,994,OD,KH,3,3,344
1042,1114,OD,KH,3,3,352
1221,1294,OD,KH,3,3,392
